"Estado_civil","Modo_aplicacion","Orden_aplicacion","Curso","Asistencia_nocturna","Cualificacion_previa","Nacionalidad","Cualificacion_madre","Cualificacion_padre","Ocupacion_madre","Ocupacion_padre","Desplazado","Necesidades_educativas_especiales","Deudor","Cuotas_al_dia","Genero","Becado","Edad_al_ingreso","Internacional","Creditos_1er_sem","Inscrito_1er_sem","Evaluaciones_1er_sem","Aprobado_1er_sem","Nota_1er_sem","Sin_evaluacion_1er_sem","Creditos_2do_sem","Inscrito_2do_sem","Evaluaciones_2do_sem","Aprobado_2do_sem","Nota_2do_sem","Sin_evaluacion_2do_sem","Tasa_desempleo","Tasa_inflacion","PIB","Resultado"
"Soltero","Cambio de institución/curso",1,"Enfermería Veterinaria","Sí","Educación secundaria","Portugués","Educación Superior - Grado","Educación Superior - Grado","Especialistas en Actividades Intelectuales y Científicas","Operadores de Instalaciones y Máquinas y Trabajadores de Montaje","Sí","No","No","Sí","Femenimo","No",22,"No",4,12,19,11,14.1538461538462,0,5,12,20,12,15.4285714285714,0,8.9,1.4,3.51,"Graduado"
"Soltero","Cambio de curso",1,"Servicio Social (asistencia nocturna)","No","Frecuencia de educación superior","Portugués","Desconocido","Desconocido","Estudiante","Estudiante","No","No","Sí","Sí","Femenimo","No",29,"No",1,6,9,4,12,0,1,6,13,2,10.5,0,7.6,2.6,0.32,"Desertor"
"Soltero","1ra fase - contingente general",1,"Equinocultura","Sí","Educación secundaria","Portugués","Educación Superior - Grado","Educación Básica 3er Ciclo (9º/10º/11º) o Equiv.","Especialistas en Actividades Intelectuales y Científicas","Trabajadores No Calificados","Sí","No","No","Sí","Masculino","No",18,"No",0,6,8,6,13.7142857142857,0,0,6,7,5,13.3333333333333,0,15.5,2.8,-4.06,"Desertor"
"Soltero","Mayores de 23 años",1,"Servicio Social (asistencia nocturna)","No","Educación superior - grado (1er ciclo)","Portugués","Educación Básica 3er Ciclo (9º/10º/11º) o Equiv.","Educación básica 1er ciclo (4º/5º año) o equiv.","Trabajadores de Servicios Personales, Seguridad y Protección y Vendedores","Trabajadores No Calificados","No","No","No","Sí","Femenimo","No",37,"No",7,11,11,11,13.7272727272727,0,4,8,8,8,14.75,0,12.4,0.5,1.79,"Graduado"
"Soltero","2da fase - contingente general",2,"Gestión","Sí","Educación secundaria","Portugués","Educación Básica 2º Ciclo (6º/7º/8º) o Equiv.","Educación Básica 2º Ciclo (6º/7º/8º) o Equiv.","Personal Administrativo","Trabajadores Calificados en Industria, Construcción y Artesanos","Sí","No","No","Sí","Masculino","Sí",22,"No",0,5,7,3,12.3333333333333,0,0,5,9,3,10.5714285714286,0,10.8,1.4,1.74,"Matriculado"
"Casado","Transferencia",1,"Gestión (asistencia nocturna)","No","Educación secundaria","Portugués","Educación Superior - Grado","Educación Superior - Licenciatura","Especialistas en Actividades Intelectuales y Científicas","Especialistas en Actividades Intelectuales y Científicas","No","No","No","Sí","Masculino","No",27,"No",2,2,2,2,12.5,0,0,5,6,2,12.5,0,12.7,3.7,-1.7,"Matriculado"
"Soltero","3ra fase - contingente general",2,"Ingeniería Informática","Sí","Educación secundaria","Portugués","Educación Secundaria - 12º Año o Equiv.","Educación Superior - Licenciatura","Trabajadores de Servicios Personales, Seguridad y Protección y Vendedores","Personal Administrativo","Sí","No","No","Sí","Masculino","No",18,"No",0,5,7,5,12.6,0,0,5,9,3,13.25,0,13.9,-0.3,0.79,"Desertor"
"Casado","Mayores de 23 años",1,"Agronomía","Sí","Educación secundaria","Portugués","Educación Secundaria - 12º Año o Equiv.","Educación Básica 3er Ciclo (9º/10º/11º) o Equiv.","Personal Administrativo","Trabajadores No Calificados","Sí","No","No","Sí","Femenimo","No",36,"No",4,12,14,12,13.8461538461538,0,5,12,18,11,14.0909090909091,0,8.9,1.4,3.51,"Graduado"
"Soltero","1ra fase - contingente general",1,"Servicio Social","Sí","Educación secundaria","Portugués","Educación básica 1er ciclo (4º/5º año) o equiv.","Educación Secundaria - 12º Año o Equiv.","Trabajadores No Calificados","Trabajadores No Calificados","Sí","No","No","Sí","Femenimo","No",18,"No",0,6,8,5,13.2,0,0,6,6,6,11.3333333333333,0,9.4,-0.8,-3.12,"Graduado"
"Soltero","2da fase - contingente general",4,"Diseño de Comunicación","Sí","Educación secundaria","Portugués","Educación Básica 2º Ciclo (6º/7º/8º) o Equiv.","Educación Secundaria - 12º Año o Equiv.","Trabajadores No Calificados","Trabajadores No Calificados","Sí","No","No","Sí","Masculino","No",19,"No",0,6,6,6,13.8333333333333,0,0,6,8,6,13.125,0,10.8,1.4,1.74,"Graduado"
"Soltero","2da fase - contingente general",4,"Gestión de Publicidad y Marketing","Sí","Educación secundaria","Portugués","Educación Secundaria - 12º Año o Equiv.","Educación básica 1er ciclo (4º/5º año) o equiv.","Trabajadores Calificados en Industria, Construcción y Artesanos","Trabajadores Calificados en Industria, Construcción y Artesanos","Sí","No","No","No","Femenimo","No",18,"No",0,6,6,6,12.3333333333333,0,0,6,8,5,13.6,0,8.9,1.4,3.51,"Graduado"
"Soltero","1ra fase - contingente general",1,"Turismo","Sí","Educación secundaria","Portugués","Educación Básica 2º Ciclo (6º/7º/8º) o Equiv.","Educación Básica 3er Ciclo (9º/10º/11º) o Equiv.","Trabajadores No Calificados","Trabajadores de Servicios Personales, Seguridad y Protección y Vendedores","Sí","No","No","Sí","Femenimo","No",21,"No",0,6,10,6,10.8333333333333,0,0,6,10,4,11,0,7.6,2.6,0.32,"Matriculado"
"Soltero","1ra fase - contingente general",1,"Servicio Social (asistencia nocturna)","No","Educación secundaria","Portugués","Educación Secundaria - 12º Año o Equiv.","Educación básica 1er ciclo (4º/5º año) o equiv.","Trabajadores Calificados en Industria, Construcción y Artesanos","Técnicos y Profesiones de Nivel Intermedio","No","No","No","Sí","Femenimo","No",23,"No",0,6,13,2,10,0,0,5,12,1,10,0,9.4,-0.8,-3.12,"Matriculado"
"Soltero","1ra fase - contingente general",1,"Periodismo y Comunicación","Sí","Educación secundaria","Portugués","Desconocido","Educación Básica 2º Ciclo (6º/7º/8º) o Equiv.","Estudiante","Técnicos y Profesiones de Nivel Intermedio","No","No","No","Sí","Masculino","No",20,"No",0,6,11,4,10.75,0,0,6,13,2,10,0,7.6,2.6,0.32,"Desertor"
"Soltero","1ra fase - contingente general",1,"Gestión de Publicidad y Marketing","Sí","Educación secundaria","Portugués","Educación Básica 3er Ciclo (9º/10º/11º) o Equiv.","Educación básica 1er ciclo (4º/5º año) o equiv.","Personal Administrativo","Trabajadores de Servicios Personales, Seguridad y Protección y Vendedores","No","No","No","Sí","Femenimo","Sí",18,"No",0,6,6,6,14.5,0,0,6,8,6,13.6666666666667,0,12.7,3.7,-1.7,"Graduado"
"Soltero","1ra fase - contingente especial (Islas Azores)",2,"Educación Básica","Sí","Educación secundaria","Portugués","Educación Básica 3er Ciclo (9º/10º/11º) o Equiv.","Educación Básica 3er Ciclo (9º/10º/11º) o Equiv.","Personal Administrativo","Trabajadores de Servicios Personales, Seguridad y Protección y Vendedores","Sí","No","No","Sí","Femenimo","No",22,"No",0,6,10,5,12.6,0,0,6,9,4,11.25,0,12.7,3.7,-1.7,"Matriculado"
"Soltero","Titulares de diploma de especialización tecnológica",1,"Equinocultura","Sí","Curso de especialización tecnológica","Portugués","Educación Superior - Licenciatura","Educación Secundaria - 12º Año o Equiv.","Técnicos y Profesiones de Nivel Intermedio","Agricultores y Trabajadores Calificados en Agricultura, Pesca y Silvicultura","Sí","No","No","Sí","Masculino","No",22,"No",11,18,32,12,12.8571428571429,1,8,12,15,10,14.3,0,16.2,0.3,-0.92,"Graduado"
"Soltero","1ra fase - contingente general",2,"Enfermería","Sí","Educación secundaria","Portugués","Educación básica 1er ciclo (4º/5º año) o equiv.","Educación básica 1er ciclo (4º/5º año) o equiv.","Trabajadores de Servicios Personales, Seguridad y Protección y Vendedores","Trabajadores Calificados en Industria, Construcción y Artesanos","Sí","No","No","Sí","Femenimo","No",20,"No",0,8,8,8,12.48375,0,0,8,8,8,12.48375,0,9.4,-0.8,-3.12,"Graduado"
"Soltero","Cambio de curso",1,"Ingeniería Informática","Sí","Educación secundaria","Portugués","Educación básica 1er ciclo (4º/5º año) o equiv.","Educación Básica 2º Ciclo (6º/7º/8º) o Equiv.","Trabajadores de Servicios Personales, Seguridad y Protección y Vendedores","Trabajadores Calificados en Industria, Construcción y Artesanos","No","No","No","Sí","Masculino","No",39,"No",0,5,10,3,17.3333333333333,0,0,5,11,1,17,0,13.9,-0.3,0.79,"Desertor"
"Soltero","Cambio de curso",2,"Educación Básica","Sí","Educación secundaria","Portugués","Educación Básica 3er Ciclo (9º/10º/11º) o Equiv.","Educación Secundaria - 12º Año o Equiv.","Trabajadores de Servicios Personales, Seguridad y Protección y Vendedores","Personal Administrativo","Sí","No","No","Sí","Femenimo","No",20,"No",0,6,10,4,12.25,0,0,6,8,4,11.5,0,10.8,1.4,1.74,"Matriculado"
"Soltero","1ra fase - contingente general",1,"Enfermería Veterinaria","Sí","Educación secundaria","Portugués","Educación Superior - Licenciatura","Educación Secundaria - 12º Año o Equiv.","Personal Administrativo","Profesiones de las Fuerzas Armadas","Sí","No","No","Sí","Femenimo","No",19,"No",0,5,7,4,12.75,0,0,5,5,5,12,0,10.8,1.4,1.74,"Graduado"
"Soltero","1ra fase - contingente general",4,"Gestión de Publicidad y Marketing","Sí","Educación secundaria","Portugués","Educación Superior - Máster","Educación Básica 3er Ciclo (9º/10º/11º) o Equiv.","Especialistas en Actividades Intelectuales y Científicas","Trabajadores de Servicios Personales, Seguridad y Protección y Vendedores","Sí","No","No","Sí","Femenimo","No",19,"No",0,6,7,6,14.4285714285714,0,0,6,8,6,15,2,16.2,0.3,-0.92,"Graduado"
"Soltero","Mayores de 23 años",1,"Enfermería Veterinaria","Sí","Educación secundaria","Portugués","Educación Superior - Máster","Educación Secundaria - 12º Año o Equiv.","Especialistas en Actividades Intelectuales y Científicas","Trabajadores No Calificados","No","No","No","No","Femenimo","No",26,"No",0,6,8,6,15.4285714285714,0,0,6,7,5,14.5,0,11.1,0.6,2.02,"Matriculado"
"Casado","Mayores de 23 años",1,"Periodismo y Comunicación","Sí","Educación básica 3er ciclo (9º/10º/11º año) o equiv.","Portugués","Educación básica 1er ciclo (4º/5º año) o equiv.","Educación básica 1er ciclo (4º/5º año) o equiv.","Estudiante","Estudiante","No","No","Sí","No","Masculino","No",50,"No",0,6,7,1,15,0,0,5,12,0,0,0,10.8,1.4,1.74,"Desertor"
"Soltero","1ra fase - contingente general",1,"Servicio Social","Sí","Educación secundaria","Portugués","Educación básica 1er ciclo (4º/5º año) o equiv.","Educación Básica 2º Ciclo (6º/7º/8º) o Equiv.","Trabajadores No Calificados","Profesiones de las Fuerzas Armadas","No","No","No","Sí","Femenimo","No",18,"No",0,6,9,6,13.7142857142857,0,0,6,6,6,14.1666666666667,0,13.9,-0.3,0.79,"Graduado"
"Soltero","Titulares de otros cursos superiores",1,"Servicio Social (asistencia nocturna)","No","Educación superior - grado (1er ciclo)","Portugués","Educación básica 1er ciclo (4º/5º año) o equiv.","Educación Básica 3er Ciclo (9º/10º/11º) o Equiv.","Trabajadores No Calificados","Técnicos y Profesiones de Nivel Intermedio","No","No","No","Sí","Femenimo","No",36,"No",6,10,15,4,13,0,5,9,10,4,13.75,0,8.9,1.4,3.51,"Desertor"
"Soltero","1ra fase - contingente general",1,"Servicio Social","Sí","Educación secundaria","Portugués","Educación Básica 3er Ciclo (9º/10º/11º) o Equiv.","Educación básica 1er ciclo (4º/5º año) o equiv.","Trabajadores No Calificados","Trabajadores No Calificados","No","No","No","No","Femenimo","Sí",20,"No",0,6,10,5,13.4,0,0,6,9,5,11.4,0,10.8,1.4,1.74,"Graduado"
"Soltero","Titulares de otros cursos superiores",1,"Agronomía","Sí","Educación superior - máster","Portugués","Educación Superior - Grado","Educación Secundaria - 12º Año o Equiv.","Especialistas en Actividades Intelectuales y Científicas","Personal Administrativo","Sí","No","No","Sí","Femenimo","No",31,"No",8,12,12,11,13.8181818181818,0,4,12,16,12,13.4615384615385,0,15.5,2.8,-4.06,"Graduado"
"Divorciado","Mayores de 23 años",1,"Equinocultura","Sí","Educación secundaria","Portugués","Educación básica 1er ciclo (4º/5º año) o equiv.","Educación básica 1er ciclo (4º/5º año) o equiv.","Agricultores y Trabajadores Calificados en Agricultura, Pesca y Silvicultura","Trabajadores Calificados en Industria, Construcción y Artesanos","Sí","No","No","Sí","Masculino","No",34,"No",0,6,9,0,0,0,0,6,6,0,0,0,16.2,0.3,-0.92,"Desertor"
"Soltero","Titulares de diploma de especialización tecnológica",1,"Agronomía","Sí","Curso de especialización tecnológica","Portugués","Educación Secundaria - 12º Año o Equiv.","Educación Básica 2º Ciclo (6º/7º/8º) o Equiv.","Trabajadores No Calificados","Agricultores y Trabajadores Calificados en Agricultura, Pesca y Silvicultura","No","No","No","Sí","Masculino","No",21,"No",0,6,13,4,11.75,0,0,6,15,4,10.5,0,15.5,2.8,-4.06,"Matriculado"
"Soltero","1ra fase - contingente general",1,"Enfermería","Sí","Educación secundaria","Portugués","Educación Básica 3er Ciclo (9º/10º/11º) o Equiv.","Educación básica 1er ciclo (4º/5º año) o equiv.","Personal Administrativo","Trabajadores No Calificados","Sí","No","No","Sí","Femenimo","Sí",19,"No",0,7,7,6,12.9666666666667,0,0,7,7,6,12.9666666666667,0,7.6,2.6,0.32,"Graduado"
"Soltero","Mayores de 23 años",1,"Servicio Social","Sí","Educación básica 3er ciclo (9º/10º/11º año) o equiv.","Portugués","Educación básica 1er ciclo (4º/5º año) o equiv.","Educación básica 1er ciclo (4º/5º año) o equiv.","Trabajadores No Calificados","Trabajadores No Calificados","No","Sí","Sí","Sí","Femenimo","No",40,"No",0,6,13,2,10,0,0,6,10,1,15,0,16.2,0.3,-0.92,"Desertor"
"Soltero","2da fase - contingente general",4,"Servicio Social","Sí","Educación secundaria","Portugués","Educación Básica 3er Ciclo (9º/10º/11º) o Equiv.","Educación Básica 3er Ciclo (9º/10º/11º) o Equiv.","Trabajadores de Limpieza","Otro Personal de Apoyo Administrativo","Sí","No","No","Sí","Femenimo","Sí",18,"No",0,6,9,6,11.6666666666667,0,0,6,8,6,11.6666666666667,0,8.9,1.4,3.51,"Graduado"
"Soltero","Titulares de otros cursos superiores",1,"Gestión (asistencia nocturna)","No","Educación superior - grado (1er ciclo)","Portugués","Educación básica 1er ciclo (4º/5º año) o equiv.","Educación básica 1er ciclo (4º/5º año) o equiv.","Agricultores y Trabajadores Calificados en Agricultura, Pesca y Silvicultura","Agricultores y Trabajadores Calificados en Agricultura, Pesca y Silvicultura","No","No","No","Sí","Femenimo","No",26,"No",3,5,5,5,14,0,1,5,5,5,15.6,0,12.4,0.5,1.79,"Graduado"
"Soltero","1ra fase - contingente general",1,"Educación Básica","Sí","Educación secundaria","Portugués","Educación básica 1er ciclo (4º/5º año) o equiv.","Educación Básica 3er Ciclo (9º/10º/11º) o Equiv.","Trabajadores No Calificados","Operadores de Instalaciones y Máquinas y Trabajadores de Montaje","No","No","Sí","Sí","Femenimo","No",18,"No",0,6,10,5,13,0,0,6,10,4,11.5,0,12.7,3.7,-1.7,"Desertor"
"Soltero","Mayores de 23 años",1,"Agronomía","Sí","Otro - 11º año de escolaridad","Portugués","Educación básica 1er ciclo (4º/5º año) o equiv.","Educación Secundaria - 12º Año o Equiv.","Trabajadores No Calificados","Profesiones de las Fuerzas Armadas","No","No","No","Sí","Masculino","No",28,"No",0,6,6,0,0,0,0,6,6,0,0,0,11.1,0.6,2.02,"Desertor"
"Soltero","1ra fase - contingente general",1,"Gestión","Sí","Educación secundaria","Portugués","Educación Básica 2º Ciclo (6º/7º/8º) o Equiv.","Educación básica 1er ciclo (4º/5º año) o equiv.","Trabajadores de Servicios Personales, Seguridad y Protección y Vendedores","Agricultores y Trabajadores Calificados en Agricultura, Pesca y Silvicultura","No","No","No","Sí","Femenimo","Sí",18,"No",0,5,11,4,11.5714285714286,0,0,5,9,5,12,0,13.9,-0.3,0.79,"Matriculado"
"Soltero","Mayores de 23 años",1,"Enfermería","Sí","Educación secundaria","Portugués","Educación básica 1er ciclo (4º/5º año) o equiv.","Educación básica 1er ciclo (4º/5º año) o equiv.","Trabajadores No Calificados","Trabajadores No Calificados","No","No","No","Sí","Masculino","No",25,"No",0,8,11,6,12.675,0,0,8,11,6,12.675,0,12.7,3.7,-1.7,"Graduado"
"Soltero","1ra fase - contingente general",1,"Servicio Social","Sí","Educación secundaria","Portugués","Educación básica 1er ciclo (4º/5º año) o equiv.","Educación básica 1er ciclo (4º/5º año) o equiv.","Trabajadores de Servicios Personales, Seguridad y Protección y Vendedores","Agricultores y Trabajadores Calificados en Agricultura, Pesca y Silvicultura","No","No","No","Sí","Femenimo","Sí",21,"No",0,6,6,6,13.3333333333333,0,0,6,8,6,13.1666666666667,0,9.4,-0.8,-3.12,"Graduado"
"Soltero","Titulares de diploma de especialización tecnológica",1,"Agronomía","Sí","Curso de especialización tecnológica","Portugués","Educación Básica 3er Ciclo (9º/10º/11º) o Equiv.","Educación Básica 2º Ciclo (6º/7º/8º) o Equiv.","Técnicos y Profesiones de Nivel Intermedio","Trabajadores No Calificados","Sí","No","No","Sí","Masculino","No",21,"No",0,6,7,6,12.8571428571429,0,0,6,6,6,13.1666666666667,0,12.4,0.5,1.79,"Graduado"
"Soltero","1ra fase - contingente general",1,"Equinocultura","Sí","Educación secundaria","Portugués","Educación Superior - Licenciatura","Educación básica 1er ciclo (4º/5º año) o equiv.","Trabajadores No Calificados","Trabajadores Calificados en Industria, Construcción y Artesanos","Sí","No","No","Sí","Masculino","Sí",18,"No",0,6,7,6,13.5,0,0,6,8,6,12.5,0,12.4,0.5,1.79,"Graduado"
"Soltero","1ra fase - contingente general",1,"Servicio Social","Sí","Educación secundaria","Portugués","Educación Básica 3er Ciclo (9º/10º/11º) o Equiv.","Educación Básica 2º Ciclo (6º/7º/8º) o Equiv.","Trabajadores No Calificados","Trabajadores No Calificados","Sí","No","Sí","Sí","Femenimo","Sí",18,"No",0,6,8,5,11.6,0,0,6,12,4,11,0,7.6,2.6,0.32,"Matriculado"
"Soltero","1ra fase - contingente general",1,"Turismo","Sí","Educación secundaria","Portugués","Educación Básica 3er Ciclo (9º/10º/11º) o Equiv.","Educación Básica 3er Ciclo (9º/10º/11º) o Equiv.","Trabajadores Calificados en Industria, Construcción y Artesanos","Operadores de Instalaciones y Máquinas y Trabajadores de Montaje","Sí","No","No","Sí","Femenimo","Sí",20,"No",0,6,6,6,14.5,0,0,6,7,5,15,0,12.4,0.5,1.79,"Matriculado"
"Casado","Mayores de 23 años",2,"Higiene Oral","Sí","Educación secundaria","Portugués","Educación Básica 3er Ciclo (9º/10º/11º) o Equiv.","Educación Básica 2º Ciclo (6º/7º/8º) o Equiv.","Trabajadores No Calificados","Trabajadores No Calificados","No","No","No","Sí","Femenimo","Sí",26,"No",0,7,7,0,0,0,0,8,8,0,0,6,10.8,1.4,1.74,"Matriculado"
"Soltero","Titulares de diploma de especialización tecnológica",1,"Equinocultura","Sí","Curso de especialización tecnológica","Portugués","Educación Secundaria - 12º Año o Equiv.","Educación básica 1er ciclo (4º/5º año) o equiv.","Personal Administrativo","Operadores de Instalaciones y Máquinas y Trabajadores de Montaje","Sí","No","No","No","Femenimo","No",22,"No",1,6,10,3,12.6666666666667,0,0,6,7,0,0,0,15.5,2.8,-4.06,"Desertor"
"Soltero","1ra fase - contingente general",1,"Enfermería","Sí","Educación secundaria","Portugués","Educación Superior - Grado","Educación Superior - Grado","Especialistas en Actividades Intelectuales y Científicas","Especialistas en Actividades Intelectuales y Científicas","No","No","No","Sí","Masculino","No",18,"No",0,8,8,7,13.1057142857143,0,0,8,8,7,13.1057142857143,0,10.8,1.4,1.74,"Graduado"
"Soltero","1ra fase - contingente general",1,"Diseño de Comunicación","Sí","Educación secundaria","Portugués","Educación Básica 3er Ciclo (9º/10º/11º) o Equiv.","Educación Secundaria - 12º Año o Equiv.","Técnicos y Profesiones de Nivel Intermedio","Operadores de Instalaciones y Máquinas y Trabajadores de Montaje","No","No","No","Sí","Femenimo","No",23,"No",1,6,8,6,13,1,0,6,8,6,11.875,0,13.9,-0.3,0.79,"Graduado"
"Soltero","Mayores de 23 años",1,"Higiene Oral","Sí","Educación secundaria","Portugués","Educación Superior - Doctorado (3er ciclo)","Educación superior - grado (1er ciclo)","Especialistas en Actividades Intelectuales y Científicas","Especialistas en Actividades Intelectuales y Científicas","No","No","No","Sí","Femenimo","No",36,"No",0,7,13,5,12.2,0,0,7,14,3,11.4,0,11.1,0.6,2.02,"Desertor"
"Soltero","1ra fase - contingente general",6,"Turismo","Sí","Educación secundaria","Portugués","Educación Superior - Grado","Educación Secundaria - 12º Año o Equiv.","Especialistas en Actividades Intelectuales y Científicas","Especialistas en Actividades Intelectuales y Científicas","Sí","No","No","Sí","Masculino","Sí",21,"No",0,6,6,6,13.5,0,0,6,6,6,12.3333333333333,0,12.4,0.5,1.79,"Graduado"
"Soltero","2da fase - contingente general",4,"Enfermería","Sí","Educación secundaria","Portugués","Educación Básica 2º Ciclo (6º/7º/8º) o Equiv.","Educación Básica 3er Ciclo (9º/10º/11º) o Equiv.","Trabajadores de Servicios Personales, Seguridad y Protección y Vendedores","Trabajadores Calificados en Industria, Construcción y Artesanos","No","No","No","Sí","Femenimo","Sí",19,"No",0,7,8,6,13.58,0,0,8,8,8,12.93625,0,15.5,2.8,-4.06,"Graduado"
"Soltero","Transferencia",3,"Enfermería","Sí","Educación secundaria","Portugués","Educación Secundaria - 12º Año o Equiv.","Educación Secundaria - 12º Año o Equiv.","Personal Administrativo","Personal Administrativo","Sí","No","No","Sí","Femenimo","Sí",19,"No",0,8,8,8,14.2525,0,0,8,8,8,14.2525,0,9.4,-0.8,-3.12,"Graduado"
"Soltero","1ra fase - contingente general",1,"Educación Básica","Sí","Educación secundaria","Portugués","Educación Básica 3er Ciclo (9º/10º/11º) o Equiv.","Educación Secundaria - 12º Año o Equiv.","Trabajadores de Servicios Personales, Seguridad y Protección y Vendedores","Profesiones de las Fuerzas Armadas","Sí","No","Sí","Sí","Femenimo","No",18,"No",0,6,9,5,13.6,0,0,6,10,4,11.75,0,9.4,-0.8,-3.12,"Matriculado"
"Soltero","1ra fase - contingente general",1,"Equinocultura","Sí","Educación secundaria","Portugués","Educación Secundaria - 12º Año o Equiv.","Educación Básica 3er Ciclo (9º/10º/11º) o Equiv.","Personal Administrativo","Personal Administrativo","No","No","No","Sí","Femenimo","No",18,"No",0,6,7,6,15.5714285714286,0,0,6,7,6,14.7142857142857,0,11.1,0.6,2.02,"Graduado"
"Soltero","1ra fase - contingente general",5,"Enfermería","Sí","Educación secundaria","Portugués","Educación Superior - Grado","Educación Superior - Máster","Personal Administrativo","Técnicos y Profesiones de Nivel Intermedio","Sí","No","No","Sí","Femenimo","No",20,"No",2,7,9,6,13.2666666666667,0,0,7,10,5,12.3,0,12.4,0.5,1.79,"Desertor"
