"Country","Year","Status","Life_expectancy","Adult_mortality","Infant_deaths","Alcohol_consumption","Percentage_expenditure","Hepatitis_B","Measles","BMI","Under_five_deaths","Polio","Total_expenditure","Diphtheria","Incidents_HIV","GDP_per_capita","Population","Thinness_ten_nineteen_years","Thinness_five_nine_years","Income_composition","Schooling"
"Albania",2013,"Developing",77.6,86,0,4.67,435.256784,99,0,54.8,1,99,5.44,99,0.1,4497.123417,278014.4,1.5,1.3,0.773,14.2
"Albania",2014,"Developing",77.8,6,0,4.54,425.591858,97,0,58.1,1,97,5.77,99,0.1,4751.148131,272752.7,1.4,1.4,0.761,14
"Albania",2015,"Developing",77.5,74,0,4.72,349.110577,99,0,59.9,0,99,6.03,99,0.1,4001.139173,28285.19,1.2,1.4,0.752,14.3
"Algeria",2000,"Developing",71.4,145,21,0.34,172.976162,NA,0,44.1,25,88,3.46,86,0.1,1843.503525,3246222.95,6.9,6.4,0.631,10.9
"Algeria",2001,"Developing",72,138,20,0.55,151.155632,NA,2608,46.9,26,88,4,87,0.1,1734.464451,31476991.48,6.1,5.8,0.635,11.3
"Algeria",2002,"Developing",71.7,159,20,0.18,156.243039,NA,5819,47,22,88,3.72,86,0.1,1954.974918,3170446.57,6.3,5.9,0.663,11.2
"Algeria",2003,"Developing",71.6,155,21,0.61,25.272436,NA,15163,45.9,22,89,3.54,85,0.1,310.651796,3257562.19,5.8,5.8,0.679,11.8
"Algeria",2004,"Developing",72.9,3,20,0.3,228.938936,82,3276,49.1,23,86,3.61,86,0.1,2695.346079,3098537.5,6.3,6.1,0.665,11.4
"Algeria",2005,"Developing",73.3,142,19,0.55,2.565079,83,2359,49.5,22,88,3.17,86,0.1,29.721541,31936923.37,6.3,6.2,0.671,12.3
"Algeria",2006,"Developing",72.9,131,18,0.32,260.91668,8,1037,49.7,24,94,3.4,94,0.1,3549.882419,34093959.55,6.4,6.4,0.706,12.3
"Algeria",2007,"Developing",73,128,19,0.22,330.981856,9,0,6.5,25,95,3.65,93,0.1,3984.212438,33849.04,6.1,5.8,0.716,12.5
"Algeria",2008,"Developing",74.3,123,20,0.69,42.408331,91,213,51.7,26,92,4.02,93,0.1,541.786855,3573190.88,6.1,6.2,0.715,12.7
"Algeria",2009,"Developing",74.6,125,23,0.62,377.011498,96,113,53.6,21,92,5.12,96,0.1,4051.563884,3546665.13,6,5.7,0.696,13.1
"Algeria",2010,"Developing",73.7,105,22,0.68,426.206105,96,100,53.6,25,94,5.06,96,0.1,4199.674219,35646861.91,5.7,5.9,0.71,13.7
"Algeria",2011,"Developing",74.7,124,21,0.63,486.782175,98,105,55.7,25,95,5.42,95,0.1,5335.341988,39276085.55,5.7,5.8,0.738,14
"Algeria",2012,"Developing",75.2,105,21,0.66,566.265665,97,17,56.6,26,94,6.02,98,0.1,5450.542296,39044274.84,6.2,5.6,0.739,14.6
"Algeria",2013,"Developing",76.3,115,22,0.37,591.651443,97,24,56.7,24,97,7.09,94,0.1,5444.006073,38760770.97,5.9,5.7,0.728,14.7
"Algeria",2014,"Developing",75.3,18,20,0.14,53.969522,96,0,58.1,25,94,7.28,95,0.1,566.258292,40337731.91,5.7,5.8,0.744,14.3
"Algeria",2015,"Developing",75.2,16,22,NA,0,97,59,61.4,22,94,NA,95,0.1,4028.723484,40597869.89,5.7,5.3,0.751,14.4
"Angola",2000,"Developing",46.6,40,91,1.93,16.880016,NA,2173,14,156,4,2.91,27,1.9,541.210481,1630021.72,2,2,0.387,4.4
"Angola",2001,"Developing",45.5,46,101,2.72,32.65304,NA,8076,14.6,163,43,5.32,40,1.9,541.909222,16338754.4,1.9,1.6,0.389,4.9
"Angola",2002,"Developing",46.7,385,95,3.14,23.243374,NA,12374,15.7,155,37,3.74,39,2.1,724.09994,17382217.67,1.5,1.7,0.399,5.6
"Angola",2003,"Developing",47.7,388,100,3.32,33.559247,NA,1305,15.9,156,5,4.43,4,2.4,797.375595,1915106.05,1.4,1.6,0.409,6.2
"Angola",2004,"Developing",47.1,388,101,3.37,9.140462,NA,31,17.1,147,3,4.84,4,2.5,134.738147,17923506.72,1,0.9,0.426,6.6
"Angola",2005,"Developing",47,383,94,5.54,98.530643,NA,244,18.7,137,39,4.15,40,2.7,1421.70316,20700868.32,0.8,10.3,0.421,6.6
"Angola",2006,"Developing",48.3,384,95,5.42,24.449029,NA,742,19.2,149,38,4.37,33,2.4,286.261851,2445933.27,9.9,9.9,0.435,7.4
"Angola",2007,"Developing",48.8,368,80,6.4,201.664928,72,956,18.4,138,72,3.25,73,2.6,2558.977839,2916943.39,9.2,9.8,0.448,7.6
"Angola",2008,"Developing",48.7,379,89,6.85,249.685835,71,242,19,135,68,3.54,69,2.5,3681.803853,2236773.84,9.7,9.3,0.456,8.3
"Angola",2009,"Developing",49.2,366,78,6.9,223.773428,59,2848,20.5,129,62,4.42,7,2.5,3378.134829,23675773.38,9.2,9.4,0.478,8.8
"Angola",2010,"Developing",49.3,372,77,8,211.48887,78,1273,2.2,121,80,3.41,77,2.6,3462.227389,23118530,9,9,0.477,9.1
"Angola",2011,"Developing",51,355,69,7.64,232.416691,71,1434,19,116,74,3.4,72,2.4,4477.674708,20924658.06,8.7,8.4,0.491,9.3
"Angola",2012,"Developing",56.5,350,67,8.11,235.753327,74,4659,21.7,115,76,3.42,74,2.6,4446.917616,246146.26,8.6,8.6,0.505,10.1
"Angola",2013,"Developing",51.6,360,72,8.09,38.146812,77,8846,23.6,98,68,4.14,78,2.3,453.620554,2455790.96,8.4,8.5,0.506,11.5
"Angola",2014,"Developing",51.6,352,66,7.72,23.99981,62,11493,22.3,100,68,3.39,65,2.1,418.871049,2354942.43,8.7,8.4,0.52,11.4
"Angola",2015,"Developing",52.6,332,69,NA,0,64,123,22.3,103,7,NA,64,2,3338.408826,2896973.71,8.8,8.2,0.533,11.3
"Antigua and Barbuda",2000,"Developing",73.4,148,0,7.25,1135.227657,NA,0,38.4,0,97,4.07,96,0.1,10367.541082,NA,4,3.3,0,0
"Antigua and Barbuda",2001,"Developing",73.5,152,0,7.46,169.679949,95,0,37.9,0,99,4.43,95,0.1,9003.918103,NA,3.7,3.6,0.009,0
"Antigua and Barbuda",2002,"Developing",73.3,151,0,7.65,880.605561,98,0,38.9,0,95,4.56,97,0.1,9376.731895,NA,3.5,3.8,0.015,0
"Antigua and Barbuda",2003,"Developing",74.6,152,0,7.29,1178.669415,99,0,3.8,0,99,4.54,99,0.1,9713.277054,NA,3.7,3.6,0.002,0
"Antigua and Barbuda",2004,"Developing",75.3,155,0,7.42,24.181476,97,0,4.2,0,98,4.4,98,0.1,1353.233179,NA,3.5,3.6,0,0
"Antigua and Barbuda",2005,"Developing",74.8,139,0,8.22,1461.017151,99,0,40.8,0,99,4.51,99,0.1,11345.470729,NA,3.8,3.2,0,0
"Antigua and Barbuda",2006,"Developing",75,146,0,8.73,223.85111,99,0,42.1,0,99,4.29,99,0.1,12477.10146,NA,3,3.2,0.786,14.5
"Antigua and Barbuda",2007,"Developing",75.6,145,0,8.61,247.296038,96,0,42.7,0,98,4.17,99,0.1,15007.890231,NA,3.2,3.6,0.781,14.8
"Antigua and Barbuda",2008,"Developing",75.3,139,0,8.06,165.479443,98,0,42.5,0,99,4.61,99,0.1,1461.20736,NA,3.6,3.3,0.798,14.3
"Antigua and Barbuda",2009,"Developing",74.2,7,0,7.58,147.367265,98,0,42.7,0,99,4.9,99,0.1,1247.328228,NA,3.4,3,0.783,14.4
"Antigua and Barbuda",2010,"Developing",75.6,138,0,7.67,1841.338897,99,0,44.3,0,97,5.47,98,0.1,11832.17252,NA,3.2,3.8,0.777,14.3
"Antigua and Barbuda",2011,"Developing",76,146,0,7.95,1783.618693,97,0,46.1,0,99,5.78,98,0.1,12786.947597,NA,3.4,3.1,0.79,13.8
"Antigua and Barbuda",2012,"Developing",75.5,126,0,8.22,1964.05085,99,0,45.9,0,97,5.31,98,0.2,11788.968777,NA,3.9,3.2,0.777,13.7
"Antigua and Barbuda",2013,"Developing",76.5,131,0,8.18,1897.037335,99,0,45.6,0,98,5.29,98,0.2,11818.266418,NA,3.3,3,0.781,14
"Antigua and Barbuda",2014,"Developing",77.1,134,0,8.57,2426.478689,99,0,47.9,0,97,5.45,99,0.2,13277.913863,NA,3.1,3,0.79,13.9
"Antigua and Barbuda",2015,"Developing",75.9,17,0,NA,0,99,0,48.2,0,86,NA,98,0.2,12021.851892,NA,3,3.5,0.775,13.6
"Argentina",2000,"Developing",73.8,131,12,7.8,1439.007991,NA,6,54.1,13,88,9.2,83,0.1,7125.055079,3639736.15,1,0.6,0.762,15.1
"Argentina",2001,"Developing",74.5,141,12,7.57,126.019405,NA,0,53.9,13,86,9.47,81,0.1,742.364893,3865289.03,1.3,1.3,0.788,15.8
"Argentina",2002,"Developing",74.4,138,12,7.69,482.518996,65,0,53.4,12,93,8.45,93,0.1,2766.961842,3680136.47,1.2,1.2,0.782,16.1
"Argentina",2003,"Developing",74.3,135,10,7.27,63.679361,73,0,55.4,13,96,8.22,94,0.1,345.240622,3971913.9,1.7,1.5,0.775,16.3
"Argentina",2004,"Developing",74.6,19,11,7.54,730.417856,82,0,56.3,12,92,6.75,96,0.1,4950.36647,39400990.1,1,1.1,0.779,16.4
"Argentina",2005,"Developing",75.2,130,11,7.6,101.17687,86,0,56.6,11,95,6.75,97,0.1,570.794541,38007867.29,1,1.4,0.779,16.3
"Argentina",2006,"Developing",74.9,132,11,7.91,965.576669,83,0,57.8,11,94,6.45,90,0.1,6120.587618,4273319.99,0.6,1.3,0.791,16.2
"Argentina",2007,"Developing",75,127,10,8.29,969.200874,84,0,57.3,11,92,6.37,91,0.1,7513.576565,3431535.92,1.2,0.7,0.763,16.5
"Argentina",2008,"Developing",75.8,124,10,8.43,1440.012739,6,0,57.4,10,94,6.87,95,0.1,8838.415784,4108694.27,0.8,1,0.8,16.1
"Argentina",2009,"Developing",76,130,10,8.63,1539.178967,95,3,60.7,10,95,7.39,93,0.1,8098.605512,449123.23,0.8,1.1,0.787,16.4
"Argentina",2010,"Developing",75.2,123,10,8.22,184.310565,95,17,60.4,11,95,6.55,95,0.1,1258.565894,41431870.17,1.2,0.8,0.815,16.8
"Argentina",2011,"Developing",75.6,14,9,8.09,1554.5924,91,3,7.1,10,94,5.86,92,0.1,12500.080177,39911712.52,0.7,0.7,0.814,17.2
"Argentina",2012,"Developing",75.7,19,9,8.38,1066.81961,93,2,61.4,11,99,5.34,92,0.1,13019.51518,4220861.23,1,0.8,0.819,17.4
"Argentina",2013,"Developing",76.5,118,8,8.34,995.00202,92,0,60.7,10,99,4.97,96,0.1,12762.702265,40110601.41,1.4,0.7,0.853,17.3
"Argentina",2014,"Developing",75.5,119,8,7.61,827.829143,96,1,61.4,10,91,4.57,94,0.1,13027.586883,47095398.9,1.1,1.4,0.823,17.5
"Argentina",2015,"Developing",76.2,122,9,NA,0,93,0,63.6,10,91,NA,93,0.1,13517.308664,43651482.27,0.9,1.4,0.836,17.3
"Armenia",2000,"Developing",72.3,146,1,3.02,32.651444,55,15,47.5,1,97,6.32,92,0.1,589.549042,387091.51,2.3,2.2,0.642,10.9
"Armenia",2001,"Developing",72.5,145,1,2.78,53.618416,70,73,48,1,95,6.03,95,0.1,719.406909,38106.16,2.1,2.6,0.613,11
"Armenia",2002,"Developing",72.2,134,1,2.93,54.058061,90,41,48.1,1,93,5.36,94,0.1,814.844359,329477.07,1.8,2.4,0.658,10.9
"Armenia",2003,"Developing",72.9,129,1,2.92,7.649989,94,4,48.1,1,95,5.46,91,0.1,96.766589,31820,1.6,2.4,0.659,10.8
"Armenia",2004,"Developing",72.8,124,1,3.46,106.98708,92,1753,49.8,1,94,5.57,89,0.1,1305.094702,3819.43,1.9,2.1,0.673,11
"Armenia",2005,"Developing",73,131,1,4.48,19.655673,91,2302,47.5,1,92,5.39,11,0.1,1511.308203,2967110.4,2.1,2.2,0.692,10.6
"Armenia",2006,"Developing",73.5,137,1,3.88,249.991088,78,131,48.1,1,90,4.64,88,0.1,2058.859463,31492.54,2.1,2.3,0.705,11.5
"Armenia",2007,"Developing",73.3,128,1,3.88,41.822646,85,1,49.2,1,8,4.17,89,0.1,3045.102278,298519.84,1.9,1.9,0.685,11.5
"Armenia",2008,"Developing",72.5,23,1,4.17,3.088708,90,0,6.2,1,91,3.73,90,0.1,41.66448,29111.67,1.7,2.2,0.715,12.3
"Armenia",2009,"Developing",73.4,142,1,4,203.813157,92,0,6.6,1,95,4.72,91,0.1,2762.598463,2834477.79,2,2,0.718,11.9
"Armenia",2010,"Developing",73,122,1,4.26,235.853254,97,2,52.5,1,95,4.65,95,0.1,3318.510075,3016275.79,2.2,1.9,0.726,12.5
"Armenia",2011,"Developing",73.6,135,1,3.79,249.425526,95,0,52.8,1,96,3.79,94,0.1,3265.882299,2753685.98,2,2.2,0.716,12.7
"Armenia",2012,"Developing",74.5,111,1,3.65,272.165402,95,0,54.6,1,94,4.65,97,0.1,3356.463293,2798975.34,1.9,2.2,0.734,12.6
"Armenia",2013,"Developing",74.8,131,1,4.04,257.815302,96,11,52.4,1,94,4.46,95,0.1,3860.682753,275269.15,1.6,2.2,0.735,12.4
"Armenia",2014,"Developing",74.7,6,1,3.67,282.742079,95,12,54.5,1,94,4.41,93,0.1,3983.254153,24993.67,2.5,2.1,0.734,12.6
"Armenia",2015,"Developing",74.2,115,1,NA,0,94,34,56.4,1,98,NA,94,0.1,360.957175,298523.33,2.3,2.2,0.727,12.6
"Australia",2000,"Developed",79.6,72,1,9.94,338.180086,NA,117,57.5,2,12,8.81,8,0.1,2118.334733,18446.58,0.4,0.9,0.903,20.3
"Australia",2001,"Developed",79.4,67,1,9.54,3371.163391,96,141,58.5,2,93,8.37,91,0.1,18196.099829,18829.44,0.9,0.7,0.887,20.7
"Australia",2002,"Developed",79.7,74,1,9.75,47.49956,95,33,59.4,2,93,8.32,93,0.1,295.955427,185216.08,1,0.7,0.935,20.4
"Australia",2003,"Developed",83.3,70,1,10.19,4000.061242,94,90,7.1,1,91,8.25,92,0.1,22666.060555,181584.17,0.7,0.4,0.895,20.3
"Australia",2004,"Developed",85.1,71,1,9.97,559.544022,95,71,6.8,1,90,8.55,93,0.1,3589.592351,19752.95,0.5,0.6,0.913,20.7
"Australia",2005,"Developed",81,74,1,10.66,563.337197,97,9,63,2,92,8.3,93,0.1,3224.048591,23113.58,0.5,0.7,0.913,20.2
"Australia",2006,"Developed",81.5,67,1,10.23,5941.60371,96,0,63.1,2,93,8.66,96,0.1,37158.547204,25457.87,0.7,0.5,0.915,20.2
"Australia",2007,"Developed",81.2,60,1,10.31,812.491826,94,10,60.8,2,92,8.57,92,0.1,5086.000499,28662.74,0.6,0.7,0.917,19.3
"Australia",2008,"Developed",80.7,70,1,10.98,8109.175074,94,61,64.3,1,93,8.71,93,0.1,47757.026119,215524.61,0.7,0.4,0.922,19
"Australia",2009,"Developed",81.3,69,1,10.84,6753.172049,95,108,62.7,1,92,9.5,91,0.1,42788.409293,212733.99,0.9,0.6,0.924,19.2
"Australia",2010,"Developed",82.2,63,1,10.52,8643.699964,92,69,64.1,1,93,9.32,92,0.1,47028.205291,211888.68,0.2,0.7,0.924,19.4
"Australia",2011,"Developed",81.5,66,1,10.81,12037.087008,93,186,65.8,1,92,9.01,91,0.1,63398.581066,239148.1,0.8,0.9,0.928,20.1
"Australia",2012,"Developed",82.6,60,1,10.04,12271.319092,90,190,64.7,1,91,9.61,91,0.1,70100.517051,21753865.41,0.9,0.8,0.936,20.3
"Australia",2013,"Developed",82.8,62,1,9.78,12541.144669,90,142,65.6,1,91,9.24,90,0.1,65827.321754,22740003.33,0.5,1,0.92,20.2
"Australia",2014,"Developed",82.7,15,1,9.82,10393.351739,91,326,66,1,94,9.43,92,0.1,56536.384752,2294267.34,0.7,1,0.935,20.2
"Australia",2015,"Developed",83,51,1,NA,0,93,74,65.8,1,92,NA,93,0.1,52901.424182,24402873.54,0.6,0.8,0.923,20.5
"Austria",2000,"Developed",77.9,100,0,12.93,3549.167204,35,0,5.2,0,71,1.85,82,0.1,26906.523713,847242.61,1.6,1.7,0.838,15.4
"Austria",2001,"Developed",78.4,93,0,12.41,3671.361911,45,0,5.5,0,82,0.97,84,0.1,23977.865115,793185.93,1.8,1.9,0.834,15.4
"Austria",2002,"Developed",79.1,10,0,12.44,3856.826324,80,0,49.3,0,83,1.15,84,0.1,28579.023339,885723.15,1.6,1.8,0.844,16.2
"Austria",2003,"Developed",78.4,83,0,12.29,509.533241,84,83,51.3,0,82,1.61,87,0.1,3045.2663,7911088.7,2.1,2,0.847,14.6
"Austria",2004,"Developed",79.9,90,0,12.38,5398.906709,85,14,51.9,0,81,1.31,82,0.1,34640.710928,8149045.6,1.9,1.9,0.85,14.9
"Austria",2005,"Developed",80.2,90,0,12.39,5557.156702,87,9,52.7,0,84,1.63,87,0.1,38734.478255,8683075.02,1.6,1.8,0.853,14.9
"Austria",2006,"Developed",80,81,0,12.43,65.876976,85,21,51.6,0,85,1.42,81,0.1,418.847985,7576540.13,1.9,2,0.835,15.1
"Austria",2007,"Developed",81.8,15,0,12.52,7604.556361,85,21,53,0,85,1.38,86,0.1,45905.570891,9019250.44,1.7,1.9,0.853,15.1
"Austria",2008,"Developed",83.9,67,0,11.75,7713.399845,83,468,55.7,0,83,1.56,82,0.1,51879.360087,8391672.71,1.4,2.4,0.873,15.3
"Austria",2009,"Developed",82.1,68,0,11.63,8078.325528,82,45,52.9,0,84,11.28,85,0.1,46562.996833,7624659.59,2.1,2.3,0.86,15.1
"Austria",2010,"Developed",84.2,79,0,12.35,7414.761746,84,48,56.9,0,87,11.21,83,0.1,48850.546816,805079.02,1.6,1.9,0.889,15.1
"Austria",2011,"Developed",87.9,72,0,12.1,8579.131272,90,69,55.4,0,91,1.96,90,0.1,51643.119203,8887749.2,1.5,2,0.866,15.6
"Austria",2012,"Developed",88.2,19,0,12.46,8355.407127,90,38,56.7,0,90,11.29,93,0.1,45719.74147,7713518.58,2.1,2,0.89,15.7
"Austria",2013,"Developed",80.9,80,0,11.94,87.881037,96,0,58.3,0,95,11.37,96,0.1,527.238931,8214962.53,1.7,2.3,0.879,15.6
"Austria",2014,"Developed",81.5,77,0,12.09,8789.936239,99,128,55.4,0,97,11.14,98,0.1,47305.955267,8044141.1,1.6,1.9,0.922,15.9
"Austria",2015,"Developed",81.1,61,0,NA,0,91,294,58.3,0,91,NA,93,0.1,43934.862167,8852830.76,1.8,1.4,0.875,15.9
"Azerbaijan",2000,"Developing",67.1,19,9,0.67,35.467726,NA,209,41.5,11,74,4.58,76,0.1,674.064765,9238.15,2.8,3.1,0.639,10.1
"Azerbaijan",2001,"Developing",67.8,134,9,0.35,4.5529,NA,578,43,10,77,4.42,76,0.1,72.925836,86041.26,3.1,3.1,0.643,10.1
"Azerbaijan",2002,"Developing",67.3,145,7,0.58,39.352079,5,3983,42,9,8,4.52,78,0.1,754.449135,841179.22,2.7,3.6,0.657,10.7
"Azerbaijan",2003,"Developing",68.2,144,7,0.36,44.038509,53,1979,44.8,7,79,6.6,80,0.1,975.07154,87592.4,2.9,3.3,0.658,10.6
"Azerbaijan",2004,"Developing",68.8,149,6,0.84,8.678841,7,820,44.3,8,79,7.8,76,0.1,142.670937,7765.63,3,3.4,0.654,11.3
"Azerbaijan",2005,"Developing",68,171,6,0.78,79.202198,47,1264,43.9,7,79,7.76,77,0.1,1547.620436,904793.39,2.7,2.9,0.667,11.2
"Azerbaijan",2006,"Developing",68.5,163,6,0.8,101.551977,53,225,45.4,7,9,6.26,79,0.1,2347.616959,829001.68,2.7,2.8,0.701,10.8
"Azerbaijan",2007,"Developing",72.6,4,6,0.91,172.250367,62,0,47.6,7,79,5.05,80,0.1,4068.960645,84020.11,2.6,2.6,0.687,11.5
"Azerbaijan",2008,"Developing",73.1,140,6,1.24,204.587643,69,5,46.9,7,86,4.22,79,0.1,5415.777115,85818.49,2.9,2.7,0.729,11.9
"Azerbaijan",2009,"Developing",76.9,153,6,2.19,22.098933,72,0,46.9,6,84,5.88,81,0.1,507.669074,8987469.11,2.7,3.1,0.73,11.7
"Azerbaijan",2010,"Developing",71.1,7,5,1.83,244.25886,8,0,48.7,6,86,5.29,80,0.1,6313.819846,846080.13,3,2.8,0.751,11.8
"Azerbaijan",2011,"Developing",71.8,129,5,1.75,256.957281,84,0,48.3,7,91,5.07,88,0.1,7506.76794,920077.71,2.6,3,0.728,12.1
"Azerbaijan",2012,"Developing",71.4,123,5,0.01,286.586964,89,0,49.8,6,91,5.34,89,0.1,7882.075426,9994272.33,2.8,2.8,0.744,12.2
"Azerbaijan",2013,"Developing",72.3,121,4,1.95,273.753143,93,160,5.2,6,96,5.59,94,0.1,8395.492565,936945.71,2.7,3,0.746,11.8
"Azerbaijan",2014,"Developing",72.8,127,5,0.01,298.741787,94,0,51.5,6,94,6.13,92,0.1,8022.372828,853737.55,2.5,2.8,0.747,11.9
"Azerbaijan",2015,"Developing",73.6,119,6,NA,0,97,0,51.7,6,99,NA,97,0.1,53.995942,9449908.32,2.8,3,0.759,12.6
"Bahamas",2000,"Developing",72.7,184,0,12.33,0,NA,0,53.9,0,93,5.35,98,0.1,NA,NA,2.9,2.8,0.003,12
"Bahamas",2001,"Developing",72.6,178,0,11.5,0,20,0,54.6,0,97,5.17,97,0.2,NA,NA,2.7,3.1,0.791,12.4
"Bahamas",2002,"Developing",71.9,26,0,10.75,0,87,0,56.5,0,92,5.38,93,0.1,NA,NA,2.6,2.4,0.773,11.7
"Bahamas",2003,"Developing",74.1,188,0,10.71,0,86,0,56.8,0,95,5.4,90,0.1,NA,NA,2.8,2.6,0.787,12.1
"Bahamas",2004,"Developing",73.3,175,0,10,0,91,0,57.4,0,93,6.24,92,0.1,NA,NA,2.8,2.3,0.794,12.4
"Bahamas",2005,"Developing",74.2,167,0,10.6,0,93,0,58.2,0,93,5.97,94,0.1,NA,NA,2.5,2.4,0.778,12.4
"Bahamas",2006,"Developing",74.5,185,0,11.11,0,96,0,58.6,0,93,7.03,98,0.1,NA,NA,2.6,2.3,0.789,12.5
"Bahamas",2007,"Developing",74.3,171,0,10.97,0,91,0,59.7,0,95,7.81,96,0.1,NA,NA,2.6,2.7,0.775,12.7
"Bahamas",2008,"Developing",74.2,165,0,10.14,0,8,0,3.9,0,95,7.33,93,0.1,NA,NA,2.5,2.7,0.809,12.6
"Bahamas",2009,"Developing",74.8,161,0,9.01,0,96,0,6.2,0,96,7.74,99,0.1,NA,NA,2.3,2.5,0.792,12.3
"Bahamas",2010,"Developing",75.2,159,0,9.14,0,95,0,59.7,0,98,7.52,98,0.2,NA,NA,2.5,2.2,0.791,12.5
"Bahamas",2011,"Developing",74.3,166,0,9.27,0,95,0,62.9,0,97,7.59,99,0.1,NA,NA,2.1,2.8,0.795,12.6
